caller_path,caller_plugin,callee_name,callee_plugin,call_site_kind,line
skills/gas-review/SKILL.md,gas-suite,review-plan,review-suite,Skill_call,57
skills/test-schedule-plan-tasks/references/agent-template.md,planning-suite,schedule-plan-tasks,planning-suite,Skill_call,20
skills/test-schedule-plan-tasks/references/agent-template-dryrun.md,planning-suite,schedule-plan-tasks,planning-suite,Skill_call,20
skills/test-schedule-plan-tasks/SKILL.md,planning-suite,schedule-plan-tasks,planning-suite,Skill_call,75
skills/test-schedule-plan-tasks/SKILL.md,planning-suite,schedule-plan-tasks,planning-suite,Skill_call,114
agents/gas-code-review.md,gas-suite,gas-review,gas-suite,slash_text,14
agents/gas-code-review.md,gas-suite,test,planning-suite,slash_text,182
agents/gas-debug-team-lead.md,gas-suite,gas-debug,gas-suite,slash_text,104
agents/gas-debug-team-lead.md,gas-suite,gas-debug,gas-suite,slash_text,14
agents/gas-debug-team-lead.md,gas-suite,gas-debug,gas-suite,slash_text,16
agents/gas-debug-team-lead.md,gas-suite,gas-debug,gas-suite,slash_text,646
agents/gas-debug-team-lead.md,gas-suite,gas-debug,gas-suite,slash_text,706
agents/gas-debug-team-lead.md,gas-suite,gas-debug,gas-suite,slash_text,737
agents/gas-debug-team-lead.md,gas-suite,gas-debug,gas-suite,slash_text,772
agents/gas-debug-team-lead.md,gas-suite,gas-debug,gas-suite,slash_text,84
agents/gas-gmail-cards.md,gas-suite,review-plan,review-suite,slash_text,14
agents/gas-gmail-cards.md,gas-suite,review-plan,review-suite,slash_text,3
agents/gas-gmail-cards.md,gas-suite,review-plan,review-suite,slash_text,55
agents/gas-review-team-lead.md,gas-suite,gas-review,gas-suite,slash_text,16
agents/gas-review.md,gas-suite,review-fix,review-suite,slash_text,11
agents/gas-ui-review.md,gas-suite,gas-review,gas-suite,slash_text,13
agents/prompt-reviewer.md,review-suite,improve-prompt,review-bench,slash_text,9
agents/prompt-reviewer.md,review-suite,prompt,core-tools,slash_text,71
agents/prompter.md,core-tools,prompt,core-tools,slash_text,150
agents/prompter.md,core-tools,prompt,core-tools,slash_text,152
agents/prompter.md,core-tools,prompt,core-tools,slash_text,155
agents/prompter.md,core-tools,prompt,core-tools,slash_text,176
commands/gas-undocumented.md,gas-suite,gas-commercial,gas-suite,slash_text,4106
commands/gas-undocumented.md,gas-suite,gas-commercial,gas-suite,slash_text,4329
commands/inputs/review-fix/input4-empty-args-no-files.md,UNASSIGNED,review-fix,review-suite,slash_text,5
plugins/async-workflow/CLEANUP_GUIDE.md,async-suite,bg,async-suite,slash_text,34
plugins/async-workflow/CLEANUP_GUIDE.md,async-suite,todo,async-suite,slash_text,33
plugins/async-workflow/CLEANUP_GUIDE.md,async-suite,todo-cleanup,async-suite,slash_text,35
plugins/async-workflow/commands/bg.md,async-suite,todo,async-suite,slash_text,20
plugins/async-workflow/commands/bg.md,async-suite,todo,async-suite,slash_text,28
plugins/async-workflow/commands/bg.md,async-suite,todo,async-suite,slash_text,29
