name,path,plugin_destination
async-workflow,plugins/async-workflow/skills/async-workflow/SKILL.md,async-suite
ablate-review-plan,skills/ablate-review-plan/SKILL.md,review-bench
architect,skills/architect/SKILL.md,planning-suite
compare-prompts,skills/compare-prompts/SKILL.md,review-bench
compare-questions,skills/compare-questions/SKILL.md,review-bench
derive-questions,skills/derive-questions/SKILL.md,review-bench
form990,skills/form990/SKILL.md,form990
gas-code-review,skills/gas-code-review/SKILL.md,gas-suite
gas-debug,skills/gas-debug/SKILL.md,gas-suite
gas-gmail-cards,skills/gas-gmail-cards/SKILL.md,gas-suite
gas-plan,skills/gas-plan/SKILL.md,gas-suite
gas-review,skills/gas-review/SKILL.md,gas-suite
gas-sidebar,skills/gas-sidebar/SKILL.md,gas-suite
gas-ui-debug,skills/gas-ui-debug/SKILL.md,gas-suite
gas-ui-review,skills/gas-ui-review/SKILL.md,gas-suite
improve-prompt,skills/improve-prompt/SKILL.md,review-bench
improve-system-prompt,skills/improve-system-prompt/SKILL.md,review-bench
make-slides,skills/make-slides/SKILL.md,slides-suite
node-plan,skills/node-plan/SKILL.md,planning-suite
optimize-questions,skills/optimize-questions/SKILL.md,review-bench
optimize-system-prompt,skills/optimize-system-prompt/SKILL.md,review-bench
proactive-research,skills/proactive-research/SKILL.md,wiki-suite
process-feedback,skills/process-feedback/SKILL.md,async-suite
question-bench,skills/question-bench/SKILL.md,review-bench
refactor,skills/refactor/SKILL.md,planning-suite
review-fix-bench,skills/review-fix-bench/SKILL.md,review-bench
review-plan,skills/review-plan/SKILL.md,review-suite
schedule-plan-tasks,skills/schedule-plan-tasks/SKILL.md,planning-suite
slack-tag,skills/slack-tag/SKILL.md,comms
slides,skills/slides/SKILL.md,slides-suite
sync-status,skills/sync-status/SKILL.md,core-tools
task-persist,skills/task-persist/SKILL.md,async-suite
test-delivery-agent,skills/test-delivery-agent/SKILL.md,planning-suite
test-run-agent,skills/test-run-agent/SKILL.md,planning-suite
test-schedule-plan-tasks,skills/test-schedule-plan-tasks/SKILL.md,planning-suite
test-slides,skills/test-slides/SKILL.md,slides-suite
test,skills/test/SKILL.md,planning-suite
validate-questions,skills/validate-questions/SKILL.md,review-bench
wiki-ingest,skills/wiki-ingest/SKILL.md,wiki-suite
wiki-init,skills/wiki-init/SKILL.md,wiki-suite
wiki-lint,skills/wiki-lint/SKILL.md,wiki-suite
wiki-load,skills/wiki-load/SKILL.md,wiki-suite
wiki-process,skills/wiki-process/SKILL.md,wiki-suite
wiki-query,skills/wiki-query/SKILL.md,wiki-suite
